group,trial,projection_seed,label,text,from_checkpoint,to_checkpoint,route_stability,node_jaccard,edge_jaccard,node_retention,edge_retention,added_nodes,removed_nodes,added_edges,removed_edges,added_node_persistence,added_edge_persistence,current_nodes,current_edges
異なる射影,2,20262822,類似文,今日の天気は最高だ,0,1,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,30,22
異なる射影,2,20262822,無関係文,犬は公園を走っている,0,1,0.91551459,0.93548387,0.9047619,0.96666667,0.95,1,1,1,1,1.0,1.0,30,20
異なる射影,2,20262822,学習文,今日は晴れて気持ちいい,1,5,0.92160326,0.9375,0.91304348,1.0,1.0,2,0,2,0,1.0,1.0,32,23
異なる射影,2,20262822,類似文,今日の天気は最高だ,1,5,0.97173913,1.0,0.95652174,1.0,1.0,0,0,1,0,0.0,1.0,30,23
異なる射影,2,20262822,無関係文,犬は公園を走っている,1,5,0.9577573,0.96774194,0.95238095,1.0,1.0,1,0,1,0,1.0,1.0,31,21
異なる射影,2,20262822,学習文,今日は晴れて気持ちいい,5,10,0.86481481,0.88888889,0.85185185,1.0,1.0,4,0,4,0,1.0,1.0,36,27
異なる射影,2,20262822,類似文,今日の天気は最高だ,5,10,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,30,23
異なる射影,2,20262822,無関係文,犬は公園を走っている,5,10,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,31,21
異なる射影,2,20262822,学習文,今日は晴れて気持ちいい,10,20,0.90807692,0.92307692,0.9,1.0,1.0,3,0,3,0,1.0,1.0,39,30
異なる射影,2,20262822,類似文,今日の天気は最高だ,10,20,0.86252723,0.88235294,0.85185185,1.0,1.0,4,0,4,0,1.0,1.0,34,27
異なる射影,2,20262822,無関係文,犬は公園を走っている,10,20,0.93254076,0.96875,0.91304348,1.0,1.0,1,0,2,0,1.0,1.0,32,23
異なる射影,2,20262822,学習文,今日は晴れて気持ちいい,20,50,0.83036036,0.86666667,0.81081081,1.0,1.0,6,0,7,0,0.0,0.0,45,37
異なる射影,2,20262822,類似文,今日の天気は最高だ,20,50,0.8227027,0.86486486,0.8,0.94117647,0.88888889,3,2,3,3,0.0,0.0,35,27
異なる射影,2,20262822,無関係文,犬は公園を走っている,20,50,0.92741176,0.94117647,0.92,1.0,1.0,2,0,2,0,0.0,0.0,34,25
異なる射影,3,20263831,学習文,今日は晴れて気持ちいい,0,1,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,28,21
異なる射影,3,20263831,類似文,今日の天気は最高だ,0,1,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,29,20
異なる射影,3,20263831,無関係文,犬は公園を走っている,0,1,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,31,22
異なる射影,3,20263831,学習文,今日は晴れて気持ちいい,1,5,0.95838558,0.96551724,0.95454545,1.0,1.0,1,0,1,0,1.0,1.0,29,22
異なる射影,3,20263831,類似文,今日の天気は最高だ,1,5,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,29,20
異なる射影,3,20263831,無関係文,犬は公園を走っている,1,5,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,31,22
異なる射影,3,20263831,学習文,今日は晴れて気持ちいい,5,10,0.92325269,0.93548387,0.91666667,1.0,1.0,2,0,2,0,1.0,1.0,31,24
異なる射影,3,20263831,類似文,今日の天気は最高だ,5,10,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,29,20
異なる射影,3,20263831,無関係文,犬は公園を走っている,5,10,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,31,22
異なる射影,3,20263831,学習文,今日は晴れて気持ちいい,10,20,0.95,1.0,0.92307692,1.0,1.0,0,0,2,0,0.0,1.0,31,26
異なる射影,3,20263831,類似文,今日の天気は最高だ,10,20,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,29,20
