group,trial,condition,label,cut_edges,retention,sunny_affinity,rainy_affinity,sunny_margin,rainy_margin
異なる射影,2,混合・補助クラスタ,雨未経験,101,0.51145485,0.14066075,0.27166364,-0.09120487,0.1310029
異なる射影,2,混合・補助クラスタ,曖昧天気,101,0.63560606,0.19110718,0.23002969,-0.09120487,0.1310029
異なる射影,2,混合・補助クラスタ,遠い対照,101,0.16153846,0.03191993,0.02019069,-0.09120487,0.1310029
異なる射影,2,曖昧・橋渡しクラスタ,晴れ未経験,37,0.57797483,0.13470622,0.09095449,0.04375174,0.07421837
異なる射影,2,曖昧・橋渡しクラスタ,雨未経験,37,0.51952341,0.0685081,0.14272647,0.04375174,0.07421837
異なる射影,2,曖昧・橋渡しクラスタ,曖昧天気,37,0.31287879,0.06442904,0.03804433,0.04375174,0.07421837
異なる射影,2,曖昧・橋渡しクラスタ,遠い対照,37,1.0,0.00786869,0.0158183,0.04375174,0.07421837
異なる射影,3,無処置,晴れ未経験,0,1.0,0.18633788,0.08844605,0.09789182,0.15214513
異なる射影,3,無処置,雨未経験,0,1.0,0.10070874,0.25285387,0.09789182,0.15214513
異なる射影,3,無処置,曖昧天気,0,1.0,0.11293899,0.18506385,0.09789182,0.15214513
異なる射影,3,無処置,遠い対照,0,1.0,0.04111208,0.05773181,0.09789182,0.15214513
異なる射影,3,混合・補助クラスタ,晴れ未経験,106,0.59621212,0.1790664,0.08756058,0.09150583,0.06818959
異なる射影,3,混合・補助クラスタ,雨未経験,106,0.35227273,0.07866731,0.1468569,0.09150583,0.06818959
異なる射影,3,混合・補助クラスタ,曖昧天気,106,0.59862069,0.11592905,0.18246871,0.09150583,0.06818959
異なる射影,3,混合・補助クラスタ,遠い対照,106,0.2715971,0.02520193,0.0283643,0.09150583,0.06818959
異なる射影,3,晴れ中心クラスタ,晴れ未経験,37,0.50378788,0.04418282,0.02190193,0.02228088,0.15214513
異なる射影,3,晴れ中心クラスタ,雨未経験,37,1.0,0.10070874,0.25285387,0.02228088,0.15214513
異なる射影,3,晴れ中心クラスタ,曖昧天気,37,0.84793103,0.09446194,0.17083057,0.02228088,0.15214513
異なる射影,3,晴れ中心クラスタ,遠い対照,37,0.826951,0.02684993,0.03492249,0.02228088,0.15214513
異なる射影,3,雨中心クラスタ,晴れ未経験,11,1.0,0.18633788,0.08844605,0.09789182,0.0867977
異なる射影,3,雨中心クラスタ,雨未経験,11,0.77022727,0.05541614,0.14221384,0.09789182,0.0867977
異なる射影,3,雨中心クラスタ,曖昧天気,11,0.67344828,0.04785396,0.06027755,0.09789182,0.0867977
異なる射影,3,雨中心クラスタ,遠い対照,11,1.0,0.04111208,0.05773181,0.09789182,0.0867977
異なる射影,4,無処置,晴れ未経験,0,1.0,0.40288757,0.29686014,0.10602743,0.07732313
異なる射影,4,無処置,雨未経験,0,1.0,0.25555931,0.33288245,0.10602743,0.07732313
異なる射影,4,無処置,曖昧天気,0,1.0,0.09622837,0.2003775,0.10602743,0.07732313
異なる射影,4,無処置,遠い対照,0,1.0,0.04768572,0.0,0.10602743,0.07732313
異なる射影,4,雨中心クラスタ,晴れ未経験,46,0.94095395,0.40288757,0.28194353,0.12094404,0.03066832
異なる射影,4,雨中心クラスタ,雨未経験,46,0.67464132,0.25890337,0.28957169,0.12094404,0.03066832
異なる射影,4,雨中心クラスタ,曖昧天気,46,0.240983,0.07492242,0.07849695,0.12094404,0.03066832
異なる射影,4,雨中心クラスタ,遠い対照,46,0.89760349,0.04768572,0.0,0.12094404,0.03066832
異なる射影,4,混合・補助クラスタ,晴れ未経験,83,0.80254934,0.37757903,0.30537488,0.07220415,0.08018165
異なる射影,4,混合・補助クラスタ,雨未経験,83,0.84261119,0.23773833,0.31791997,0.07220415,0.08018165
異なる射影,4,混合・補助クラスタ,曖昧天気,83,0.91529933,0.08247442,0.18788655,0.07220415,0.08018165
異なる射影,4,混合・補助クラスタ,遠い対照,83,0.283878,0.00805808,0.0,0.07220415,0.08018165
異なる射影,4,天気共通クラスタ,晴れ未経験,23,0.37623355,0.07425968,0.04623162,0.02802806,0.04718413
異なる射影,4,天気共通クラスタ,雨未経験,23,0.59167862,0.0666168,0.11380093,0.02802806,0.04718413
異なる射影,4,天気共通クラスタ,曖昧天気,23,0.88706578,0.04185125,0.14987673,0.02802806,0.04718413
異なる射影,4,天気共通クラスタ,遠い対照,23,1.0,0.04768572,0.0,0.02802806,0.04718413
異なる射影,5,無処置,晴れ未経験,0,1.0,0.33750337,0.21439986,0.12310351,0.04569395
異なる射影,5,無処置,雨未経験,0,1.0,0.27001673,0.31571068,0.12310351,0.04569395
異なる射影,5,無処置,曖昧天気,0,1.0,0.39093447,0.31016475,0.12310351,0.04569395
異なる射影,5,無処置,遠い対照,0,1.0,0.11861141,0.06282642,0.12310351,0.04569395
異なる射影,5,雨中心クラスタ,晴れ未経験,21,1.0,0.33750337,0.21439986,0.12310351,0.0114731
異なる射影,5,雨中心クラスタ,雨未経験,21,0.87861111,0.27137498,0.28284808,0.12310351,0.0114731
異なる射影,5,雨中心クラスタ,曖昧天気,21,0.954154,0.40337225,0.30880585,0.12310351,0.0114731
異なる射影,5,雨中心クラスタ,遠い対照,21,1.0,0.11861141,0.06282642,0.12310351,0.0114731
異なる射影,5,晴れ中心クラスタ,晴れ未経験,20,0.60773366,0.16602245,0.15023909,0.01578336,0.06395652
異なる射影,5,晴れ中心クラスタ,雨未経験,20,0.97416667,0.25517804,0.31913456,0.01578336,0.06395652
異なる射影,5,晴れ中心クラスタ,曖昧天気,20,0.69397163,0.23144653,0.26422942,0.01578336,0.06395652
異なる射影,5,晴れ中心クラスタ,遠い対照,20,0.92878788,0.10020457,0.05223231,0.01578336,0.06395652
異なる射影,5,混合・補助クラスタ,晴れ未経験,68,0.62870141,0.25141368,0.20987096,0.04154272,0.03466051
異なる射影,5,混合・補助クラスタ,雨未経験,68,0.59194444,0.2501708,0.28483132,0.04154272,0.03466051
異なる射影,5,混合・補助クラスタ,曖昧天気,68,0.71631206,0.39005082,0.29979106,0.04154272,0.03466051
異なる射影,5,混合・補助クラスタ,遠い対照,68,0.22348485,0.07190827,0.05996585,0.04154272,0.03466051
異なる射影,5,天気共通クラスタ,晴れ未経験,14,0.73949545,0.22615829,0.09659148,0.12956681,0.01793267
異なる射影,5,天気共通クラスタ,雨未経験,14,0.65388889,0.09189698,0.10982966,0.12956681,0.01793267
異なる射影,5,天気共通クラスタ,曖昧天気,14,0.74726444,0.22810992,0.13650829,0.12956681,0.01793267
異なる射影,5,天気共通クラスタ,遠い対照,14,0.96439394,0.1037049,0.04791348,0.12956681,0.01793267
