group,trial,cluster_id,semantic_name,edge_a,edge_b,usage_pattern
固定射影,2,0,混合・補助クラスタ,203,213,0010000000
固定射影,2,0,混合・補助クラスタ,208,583,0010000000
固定射影,2,0,混合・補助クラスタ,213,552,0010000001
固定射影,2,0,混合・補助クラスタ,218,364,0010000000
固定射影,2,0,混合・補助クラスタ,218,496,0010001100
固定射影,2,0,混合・補助クラスタ,219,568,0000000001
固定射影,2,0,混合・補助クラスタ,226,230,0100000000
固定射影,2,0,混合・補助クラスタ,230,426,0100000000
固定射影,2,0,混合・補助クラスタ,237,534,0000000001
固定射影,2,0,混合・補助クラスタ,273,500,0000000001
固定射影,2,0,混合・補助クラスタ,287,491,0000000001
固定射影,2,0,混合・補助クラスタ,295,335,0000001000
固定射影,2,0,混合・補助クラスタ,311,420,0000001100
固定射影,2,0,混合・補助クラスタ,316,323,0000000001
固定射影,2,0,混合・補助クラスタ,341,556,0100000000
固定射影,2,0,混合・補助クラスタ,369,409,1000000100
固定射影,2,0,混合・補助クラスタ,369,550,1000000100
固定射影,2,0,混合・補助クラスタ,374,560,0100000000
固定射影,2,0,混合・補助クラスタ,381,502,1000000001
固定射影,2,0,混合・補助クラスタ,383,420,0000001100
固定射影,2,0,混合・補助クラスタ,393,439,0000000001
固定射影,2,0,混合・補助クラスタ,407,444,0000010000
固定射影,2,0,混合・補助クラスタ,409,422,1000000000
固定射影,2,0,混合・補助クラスタ,418,500,0000000001
固定射影,2,0,混合・補助クラスタ,419,568,0000000001
固定射影,2,0,混合・補助クラスタ,426,565,0100000000
固定射影,2,0,混合・補助クラスタ,426,589,0100000000
固定射影,2,0,混合・補助クラスタ,439,552,0010000001
固定射影,2,0,混合・補助クラスタ,443,575,0100000000
固定射影,2,0,混合・補助クラスタ,478,516,0000001100
固定射影,2,0,混合・補助クラスタ,492,529,0000010000
固定射影,2,0,混合・補助クラスタ,496,516,0010001100
固定射影,2,0,混合・補助クラスタ,502,525,0000000001
固定射影,2,0,混合・補助クラスタ,534,559,0000000001
固定射影,2,0,混合・補助クラスタ,543,583,0010000000
固定射影,2,0,混合・補助クラスタ,550,574,1000000000
固定射影,2,0,混合・補助クラスタ,565,589,0100000000
固定射影,2,1,晴れ中心クラスタ,22,536,1111010010
固定射影,2,1,晴れ中心クラスタ,81,399,1110001000
固定射影,2,1,晴れ中心クラスタ,81,511,1110001000
固定射影,2,1,晴れ中心クラスタ,84,277,1011011010
固定射影,2,1,晴れ中心クラスタ,84,492,1011011010
固定射影,2,1,晴れ中心クラスタ,148,536,1111010010
固定射影,2,1,晴れ中心クラスタ,164,354,1110001000
固定射影,2,1,晴れ中心クラスタ,164,399,1110001000
固定射影,2,1,晴れ中心クラスタ,169,545,1110001010
固定射影,2,1,晴れ中心クラスタ,201,224,1011001010
固定射影,2,1,晴れ中心クラスタ,201,235,1011001010
固定射影,2,1,晴れ中心クラスタ,201,572,1011001010
固定射影,2,1,晴れ中心クラスタ,212,224,1011001010
固定射影,2,1,晴れ中心クラスタ,212,509,1011001010
固定射影,2,1,晴れ中心クラスタ,235,362,1011001010
固定射影,2,1,晴れ中心クラスタ,241,483,1011001010
固定射影,2,1,晴れ中心クラスタ,241,572,1011001010
固定射影,2,1,晴れ中心クラスタ,271,362,1111001010
固定射影,2,1,晴れ中心クラスタ,277,492,1011011010
固定射影,2,1,晴れ中心クラスタ,298,354,1110001000
固定射影,2,1,晴れ中心クラスタ,302,461,1011001010
固定射影,2,1,晴れ中心クラスタ,318,511,1110001000
