condition,label,trials,retention_mean,retention_std,sunny_affinity_mean,sunny_affinity_std,rainy_affinity_mean,rainy_affinity_std,sunny_margin_mean,sunny_margin_std,rainy_margin_mean,rainy_margin_std,cut_edges_mean,cut_edges_std
曖昧・橋渡しクラスタ,遠い対照,3,1.0,0.0,0.01994634333333333,0.00854019057282031,0.0118024,0.0028396701225670566,0.19257775666666666,0.10540899822199948,0.16797219333333333,0.0684850943612532,26.0,8.04155872120988
曖昧・橋渡しクラスタ,雨未経験,3,0.7585280066666668,0.19616150560059778,0.06739553,0.005974111971704807,0.23536772000000003,0.06646841316671702,0.19257775666666666,0.10540899822199948,0.16797219333333333,0.0684850943612532,26.0,8.04155872120988
混合・補助クラスタ,晴れ未経験,10,0.7203769059999999,0.13240923818020375,0.28992444500000003,0.09031007376715859,0.144218881,0.0802410250428397,0.145705566,0.12595126197734718,0.15132762099999997,0.06718907717199746,82.0,16.964669168598604
混合・補助クラスタ,曖昧天気,10,0.770556035,0.13073921528967636,0.251945803,0.09568526122957904,0.205668452,0.046845811583066596,0.145705566,0.12595126197734718,0.15132762099999997,0.06718907717199746,82.0,16.964669168598604
混合・補助クラスタ,遠い対照,10,0.21787295,0.11174638390354256,0.063091708,0.033986027041964406,0.061456913999999994,0.0315678123815209,0.145705566,0.12595126197734718,0.15132762099999997,0.06718907717199746,82.0,16.964669168598604
混合・補助クラスタ,雨未経験,10,0.695324815,0.20435167016620223,0.11491423200000002,0.07101564569429047,0.266241849,0.04564259071607119,0.145705566,0.12595126197734718,0.15132762099999997,0.06718907717199746,82.0,16.964669168598604
無処置,晴れ未経験,10,1.0,0.0,0.30854447799999996,0.09004375931931827,0.142221806,0.0784579632486419,0.166322672,0.1175850954540342,0.152670892,0.05902560121759605,0.0,0.0
無処置,曖昧天気,10,1.0,0.0,0.26402193399999996,0.09160318231462618,0.20575215799999996,0.0536295844728034,0.166322672,0.1175850954540342,0.152670892,0.05902560121759605,0.0,0.0
無処置,遠い対照,10,1.0,0.0,0.039639987999999994,0.028945839802239217,0.026427053,0.02693463778336254,0.166322672,0.1175850954540342,0.152670892,0.05902560121759605,0.0,0.0
無処置,雨未経験,10,1.0,0.0,0.13675468,0.0761589612238552,0.289425572,0.037930251367510555,0.166322672,0.1175850954540342,0.152670892,0.05902560121759605,0.0,0.0
雨中心クラスタ,晴れ未経験,9,0.9714119111111111,0.04462151209461479,0.3185386344444444,0.08811218793262524,0.12657025,0.06712091597722775,0.1919683822222222,0.09368871161665064,0.016446766666666668,0.03692952640314642,31.88888888888889,12.187830400712967
雨中心クラスタ,曖昧天気,9,0.8425588577777777,0.24569566683393093,0.2564997022222222,0.11477801540835178,0.16345180777777776,0.0671859499550285,0.1919683822222222,0.09368871161665064,0.016446766666666668,0.03692952640314642,31.88888888888889,12.187830400712967
雨中心クラスタ,遠い対照,9,0.9432484100000001,0.09747771923854634,0.04380009111111111,0.028531544250910333,0.02132872444444444,0.02290812517416333,0.1919683822222222,0.09368871161665064,0.016446766666666668,0.03692952640314642,31.88888888888889,12.187830400712967
雨中心クラスタ,雨未経験,9,0.5266658511111112,0.22951860878363003,0.10682641666666666,0.10433970098681188,0.12327318444444445,0.1005292369030045,0.1919683822222222,0.09368871161665064,0.016446766666666668,0.03692952640314642,31.88888888888889,12.187830400712967
