group,trial,cluster_id,semantic_name,edge_count,loss,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
固定射影,3,1,雨中心クラスタ,30,132.0970588235294,0.0,0.2,0.16666666666666666,0.3333333333333333,1.0,0.3,0.0,0.4666666666666667,0.0,0.03333333333333333
固定射影,3,2,天気共通クラスタ,23,132.0970588235294,1.0,0.21739130434782608,0.782608695652174,0.9130434782608695,0.0,0.391304347826087,0.6956521739130435,0.0,1.0,0.0
固定射影,3,3,雨中心クラスタ,20,132.0970588235294,0.0,0.0,0.0,0.55,0.0,0.9,0.0,0.5,0.0,0.0
固定射影,3,4,晴れ中心クラスタ,28,132.0970588235294,0.2857142857142857,1.0,0.21428571428571427,0.0,0.0,0.0,0.21428571428571427,0.0,0.07142857142857142,0.0
固定射影,4,0,天気共通クラスタ,21,133.10898268398267,1.0,0.14285714285714285,0.7619047619047619,1.0,0.0,0.42857142857142855,0.6666666666666666,0.0,1.0,0.0
固定射影,4,1,雨中心クラスタ,35,133.10898268398267,0.05714285714285714,0.17142857142857143,0.2,0.5142857142857142,0.45714285714285713,0.4,0.14285714285714285,0.9428571428571428,0.0,0.0
固定射影,4,2,混合・補助クラスタ,64,133.10898268398267,0.09375,0.0,0.140625,0.046875,0.21875,0.203125,0.0625,0.0,0.171875,0.28125
固定射影,4,3,混合・補助クラスタ,22,133.10898268398267,0.09090909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0
固定射影,4,4,晴れ中心クラスタ,10,133.10898268398267,1.0,0.8,0.8,0.0,0.0,0.0,1.0,0.0,0.2,0.1
固定射影,5,0,晴れ中心クラスタ,32,132.1596383027304,1.0,0.34375,0.75,0.65625,0.0,0.28125,0.71875,0.0,0.78125,0.0
固定射影,5,1,混合・補助クラスタ,52,132.1596383027304,0.09615384615384616,0.0,0.2692307692307692,0.1346153846153846,0.38461538461538464,0.0,0.17307692307692307,0.36538461538461536,0.17307692307692307,0.0
固定射影,5,2,混合・補助クラスタ,19,132.1596383027304,0.10526315789473684,0.0,0.10526315789473684,0.0,0.05263157894736842,0.0,0.05263157894736842,0.0,0.0,1.0
固定射影,5,3,混合・補助クラスタ,22,132.1596383027304,0.09090909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0
固定射影,5,4,雨中心クラスタ,27,132.1596383027304,0.0,0.2222222222222222,0.0,0.5185185185185185,0.3333333333333333,1.0,0.0,0.5185185185185185,0.0,0.0
異なる射影,1,0,混合・補助クラスタ,66,138.250593492529,0.25757575757575757,0.0,0.2727272727272727,0.13636363636363635,0.0,0.24242424242424243,0.18181818181818182,0.16666666666666666,0.12121212121212122,0.16666666666666666
異なる射影,1,1,混合・補助クラスタ,31,138.250593492529,0.0,1.0,0.1935483870967742,0.0,0.0967741935483871,0.0,0.0,0.16129032258064516,0.0,0.0
異なる射影,1,2,晴れ中心クラスタ,14,138.250593492529,1.0,0.0,0.2857142857142857,0.8571428571428571,0.0,0.0,1.0,0.2857142857142857,1.0,0.42857142857142855
異なる射影,1,3,雨中心クラスタ,22,138.250593492529,0.13636363636363635,0.0,0.0,0.2727272727272727,0.9545454545454546,0.36363636363636365,0.09090909090909091,0.5909090909090909,0.45454545454545453,0.3181818181818182
異なる射影,1,4,天気共通クラスタ,8,138.250593492529,0.0,0.875,1.0,0.875,0.375,1.0,0.0,1.0,0.875,0.0
