group,trial,projection_seed,k,edge_count,loss,silhouette,stability,stability_std_within
異なる射影,2,20262822,2,138,207.13541666666669,0.2540687225885192,0.9964032582249022,0.009516084267025913
異なる射影,2,20262822,3,138,172.7822099418846,0.2558002294958003,0.9341611128742198,0.05672646161413375
異なる射影,2,20262822,4,138,154.6055796055796,0.22889159663164504,0.8199116682534645,0.052543430492586723
異なる射影,2,20262822,5,138,138.2336160216595,0.25602010066243114,0.8398127578546493,0.05394380793249859
異なる射影,2,20262822,6,138,126.95827922077922,0.2860956449944071,0.7989527134243097,0.019786039290087386
異なる射影,2,20262822,7,138,117.32305841553267,0.28325872446662614,0.8526129271130858,0.02951774550408166
異なる射影,2,20262822,8,138,104.07210144927535,0.34517261542497174,0.8748413202158045,0.020293817371227315
異なる射影,3,20263831,2,154,205.73214285714283,0.20473326334369904,0.7512307953484424,0.21657410415405226
異なる射影,3,20263831,3,154,173.05128205128204,0.22270003408506506,0.781480774127833,0.06938616138910307
異なる射影,3,20263831,4,154,156.0403133903134,0.23636857058270022,0.7462757830404889,0.09084257570413964
異なる射影,3,20263831,5,154,144.2502304069352,0.23443060669557803,0.7272196757490875,0.03936413187332325
異なる射影,3,20263831,6,154,124.75017939806672,0.2765056595302982,0.7898947457770986,0.06931212078752455
異なる射影,3,20263831,7,154,111.62735814909728,0.3127604613007438,0.8287496816908582,0.0265123470025798
異なる射影,3,20263831,8,154,99.04274365469412,0.37684519349574075,0.8628193701723114,0.02534236356870907
異なる射影,4,20264840,2,152,207.12942612942612,0.3406473399341199,0.9934646218194493,0.011319607055390897
異なる射影,4,20264840,3,152,179.9422084141185,0.21844672999642625,0.8262678633670268,0.12604593723994525
異なる射影,4,20264840,4,152,160.01921267138658,0.24339162700764222,0.773069884977344,0.09443877254244093
異なる射影,4,20264840,5,152,144.11118409508413,0.27783721708543624,0.7567205472289996,0.04011488351135103
異なる射影,4,20264840,6,152,132.53165786615736,0.2898932013311728,0.8010413035901012,0.03027132962090943
異なる射影,4,20264840,7,152,119.66312113650247,0.327411272996371,0.8569514639247124,0.05110318318681038
異なる射影,4,20264840,8,152,110.09768663550295,0.3534277826051377,0.8796945799930289,0.029499909733516474
異なる射影,5,20265849,2,123,198.75977443609023,0.2934928896467258,1.0,0.0
異なる射影,5,20265849,3,123,172.1494092114782,0.21611483741001344,0.8590896974543516,0.07037831144695945
異なる射影,5,20265849,4,123,154.66931042884988,0.2377545890314636,0.7614620818339332,0.05332282602166858
異なる射影,5,20265849,5,123,134.99092440215264,0.2762281344144311,0.8098260695721711,0.05156659992285786
異なる射影,5,20265849,6,123,125.4821590518185,0.2830477343366259,0.8221378115420498,0.03333073264609778
異なる射影,5,20265849,7,123,109.94062307649264,0.3250558864987395,0.863704518192723,0.023709138892043954
異なる射影,5,20265849,8,123,100.12687312687314,0.35142962874653555,0.8772324403571905,0.01568143492797654
異なる射影,6,20266858,2,139,202.84476843910807,0.3179853505465021,1.0,0.0
異なる射影,6,20266858,3,139,178.71129068462403,0.2070999346296727,0.842860494213325,0.11331314439203298
異なる射影,6,20266858,4,139,156.02976384049555,0.24034387225723075,0.7576634344698154,0.11317682178794385
異なる射影,6,20266858,5,139,142.14017094017095,0.2542343540082415,0.7984829527682202,0.06049177805855377
異なる射影,6,20266858,6,139,122.86021769674517,0.30588887161111544,0.8399280575539568,0.03648125113822564
異なる射影,6,20266858,7,139,110.2949938949939,0.3478456105601893,0.8490902929830049,0.0526689844752183
異なる射影,6,20266858,8,139,99.19946886446886,0.36558362042048265,0.8868600771556667,0.022054292146667324
