group,trial,function_type,present,edge_count,centroid_similarity,signature_similarity,role_match,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,drop_0,drop_1,drop_2,drop_3
異なる射影,1,天気共通クラスタ,1,8,0.8933556254428625,0.7582353753806578,1.0,0.0,0.875,1.0,0.875,0.375,1.0,0.0,1.0,0.875,0.0,0.0,0.19481058640373639,0.16746411483253587,0.0
異なる射影,2,天気共通クラスタ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
異なる射影,3,天気共通クラスタ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
異なる射影,4,天気共通クラスタ,1,23,0.9450089048569632,0.9352292865669825,1.0,1.0,0.9130434782608695,0.6956521739130435,0.5217391304347826,0.6521739130434783,0.9565217391304348,1.0,0.6521739130434783,0.17391304347826086,0.0,0.623766447368421,0.4083213773314204,0.1129342202512933,0.0
異なる射影,5,天気共通クラスタ,1,14,0.9940896346682689,0.9856711093480696,1.0,0.8571428571428571,0.7857142857142857,1.0,1.0,0.8571428571428571,1.0,0.5714285714285714,1.0,0.8571428571428571,0.07142857142857142,0.2605045492142266,0.34611111111111104,0.25273556231003047,0.03560606060606064
異なる射影,6,天気共通クラスタ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
異なる射影,7,天気共通クラスタ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
異なる射影,8,天気共通クラスタ,1,18,0.9629994991941326,0.9655611569800783,1.0,1.0,0.7222222222222222,0.7222222222222222,0.7222222222222222,1.0,0.7222222222222222,0.9444444444444444,0.5,0.7777777777777778,0.0,0.37083333333333335,0.2268989547038327,0.3458333333333333,0.0
異なる射影,1,晴れ中心クラスタ,1,14,0.8558087361793796,0.9809780198905613,1.0,1.0,0.0,0.2857142857142857,0.8571428571428571,0.0,0.0,1.0,0.2857142857142857,0.9285714285714286,0.42857142857142855,0.41500000000000004,0.08575505967825636,0.30191387559808613,0.21397058823529402
異なる射影,2,晴れ中心クラスタ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
異なる射影,3,晴れ中心クラスタ,1,23,0.7760041286951428,0.9563142162277682,1.0,0.0,0.43478260869565216,1.0,0.0,0.782608695652174,0.0,0.782608695652174,0.0,0.21739130434782608,0.13043478260869565,0.4962121212121212,0.0,0.15206896551724147,0.17304900181488203
異なる射影,4,晴れ中心クラスタ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
異なる射影,5,晴れ中心クラスタ,1,20,0.9542179221576568,0.9895413705215571,1.0,1.0,0.25,1.0,0.5,0.2,0.0,0.7,0.05,0.7,0.1,0.3922663358147229,0.025833333333333375,0.30602836879432627,0.07121212121212106
異なる射影,6,晴れ中心クラスタ,1,15,0.9093505415443373,0.859318362968156,1.0,0.9333333333333333,1.0,0.6666666666666666,0.8666666666666667,0.8666666666666667,0.4,1.0,0.0,0.06666666666666667,0.0,0.36425531914893616,0.0,0.02659214092140927,0.0
異なる射影,7,晴れ中心クラスタ,1,41,0.9572271528446566,0.9737001811625158,1.0,0.7897435897435897,0.3551282051282051,0.5871794871794872,0.2576923076923077,0.13333333333333333,0.41025641025641024,0.7307692307692308,0.16666666666666666,0.4807692307692308,0.1,0.7652467685076381,0.24605911330049257,0.7234883720930232,0.16225961538461542
異なる射影,8,晴れ中心クラスタ,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
異なる射影,1,雨中心クラスタ,1,22,0.8704109203879279,0.9386220279465771,1.0,0.13636363636363635,0.0,0.0,0.2727272727272727,0.9545454545454546,0.36363636363636365,0.09090909090909091,0.5909090909090909,0.45454545454545453,0.3181818181818182,0.06642857142857139,0.38121432278152567,0.26770334928229667,0.31580882352941186
