group,condition,label,trials,ablated_edge_count_mean,ablated_edge_count_std,node_count_mean,node_count_std,edge_count_mean,edge_count_std,node_retention_mean,node_retention_std,edge_retention_mean,edge_retention_std,route_retention_mean,route_retention_std,train_similar_overlap_mean,train_similar_overlap_std,train_unrelated_overlap_mean,train_unrelated_overlap_std,similar_unrelated_overlap_mean,similar_unrelated_overlap_std
固定射影,無関係文専用Edge,類似文,5,17.0,0.0,38.8,0.9797958971132712,30.8,0.9797958971132713,0.97,0.024494897427831803,0.9625,0.03061862178478973,0.9651250000000001,0.028475318259854436,0.33171638000000003,0.00600730010948345,0.052500000000000005,6.938893903907228e-18,0.05814632200000001,0.0011165362125144006
異なる射影,ランダム同数Edge,学習文,5,10.0,7.183313998427188,40.8,4.214261501141095,33.8,3.3105890714493698,0.9904761900000001,0.019047619999999998,0.9882352940000001,0.023529411999999982,0.9890196079999999,0.02196078400000001,0.285418802,0.1724338917728936,0.132098798,0.03848563327589786,0.102929202,0.08795221343450259
異なる射影,ランダム同数Edge,無関係文,5,10.0,7.183313998427188,32.0,2.0976176963403033,22.8,1.8330302779823362,1.0,0.0,1.0,0.0,1.0,0.0,0.285418802,0.1724338917728936,0.132098798,0.03848563327589786,0.102929202,0.08795221343450259
異なる射影,ランダム同数Edge,類似文,5,10.0,7.183313998427188,35.4,4.223742416388575,27.4,4.454211490264018,0.9777777780000001,0.04444444399999998,0.985185186,0.029629627999999998,0.9825925919999999,0.034814816000000005,0.285418802,0.1724338917728936,0.132098798,0.03848563327589786,0.102929202,0.08795221343450259
異なる射影,全共有幹線Edge,学習文,5,3.4,3.7735924528226414,39.0,4.1952353926806065,32.0,3.3466401061363023,0.9227637339999999,0.08516098380308335,0.8693657220000001,0.1476068663203365,0.888055026,0.12552256303156298,0.258621568,0.15562320373221203,0.10393279,0.01555040355442906,0.059229106,0.047939496268679174
異なる射影,全共有幹線Edge,無関係文,5,3.4,3.7735924528226414,30.4,1.0198039027185568,21.0,0.8944271909999159,0.8748611900000001,0.15234784991295558,0.7936026920000001,0.23569889468370972,0.8220431679999999,0.20608527254677578,0.258621568,0.15562320373221203,0.10393279,0.01555040355442906,0.059229106,0.047939496268679174
異なる射影,全共有幹線Edge,類似文,5,3.4,3.7735924528226414,33.0,2.0976176963403033,25.0,3.22490309931942,0.891400492,0.11408960708577576,0.833539142,0.185890867263962,0.8537906160000001,0.1605786645335434,0.258621568,0.15562320373221203,0.10393279,0.01555040355442906,0.059229106,0.047939496268679174
異なる射影,学習・類似共有Edge,学習文,5,10.0,7.183313998427188,36.6,2.244994432064365,28.2,1.469693845669907,0.7706688960000001,0.1556292951088677,0.645882574,0.2366074505275167,0.6895577879999999,0.20780687347269197,0.18191038599999998,0.12264993634393498,0.14645821399999998,0.042965467152966744,0.11672400000000001,0.10057534769452842
異なる射影,学習・類似共有Edge,無関係文,5,10.0,7.183313998427188,32.0,2.0976176963403033,22.8,1.8330302779823362,1.0,0.0,1.0,0.0,1.0,0.0,0.18191038599999998,0.12264993634393498,0.14645821399999998,0.042965467152966744,0.11672400000000001,0.10057534769452842
異なる射影,学習・類似共有Edge,類似文,5,10.0,7.183313998427188,30.6,2.727636339397171,21.2,2.481934729198171,0.7358320039999999,0.16100479972533868,0.58495044,0.2512109997645705,0.6377589859999999,0.2192448807616256,0.18191038599999998,0.12264993634393498,0.14645821399999998,0.042965467152966744,0.11672400000000001,0.10057534769452842
異なる射影,無処置,学習文,5,0.0,0.0,40.8,4.214261501141095,33.8,3.3105890714493698,1.0,0.0,1.0,0.0,1.0,0.0,0.276718802,0.17410684704153934,0.132098798,0.03848563327589786,0.10423184,0.08873792689493641
異なる射影,無処置,無関係文,5,0.0,0.0,32.0,2.0976176963403033,22.8,1.8330302779823362,1.0,0.0,1.0,0.0,1.0,0.0,0.276718802,0.17410684704153934,0.132098798,0.03848563327589786,0.10423184,0.08873792689493641
異なる射影,無処置,類似文,5,0.0,0.0,35.0,4.33589667773576,27.0,4.560701700396552,1.0,0.0,1.0,0.0,1.0,0.0,0.276718802,0.17410684704153934,0.132098798,0.03848563327589786,0.10423184,0.08873792689493641
