group,trial,projection_seed,condition,probe_label,probe_text,cut_edge_count,route_retention,sunny_affinity,rainy_affinity,affinity_margin,node_count,edge_count
固定射影,5,20260804,ランダム同数,晴れ未経験,よく晴れた穏やかな日だ,17,0.61590909,0.1625864,0.05935382,0.10323258,33,25
固定射影,5,20260804,ランダム同数,雨未経験,雨雲が広がって寒く感じる,17,0.88787879,0.06591101,0.21338842,-0.14747741,40,31
固定射影,5,20260804,ランダム同数,曖昧天気,今日は天気が変わりやすい,17,0.72361111,0.19353163,0.12866281,0.06486882,38,29
固定射影,5,20260804,ランダム同数,無関係,会計ソフトが請求書を処理する,17,0.95372051,0.0208215,0.00997145,0.01085005,28,18
異なる射影,1,20261813,無処置,晴れ未経験,よく晴れた穏やかな日だ,0,1.0,0.12782333,0.11537661,0.01244673,35,28
異なる射影,1,20261813,無処置,雨未経験,雨雲が広がって寒く感じる,0,1.0,0.20062501,0.27481235,-0.07418735,47,41
異なる射影,1,20261813,無処置,曖昧天気,今日は天気が変わりやすい,0,1.0,0.20200923,0.27437829,-0.07236906,44,38
異なる射影,1,20261813,無処置,無関係,会計ソフトが請求書を処理する,0,1.0,0.05119613,0.07892175,-0.02772562,34,24
異なる射影,1,20261813,天気幹線切断,晴れ未経験,よく晴れた穏やかな日だ,0,1.0,0.12782333,0.11537661,0.01244673,35,28
異なる射影,1,20261813,天気幹線切断,雨未経験,雨雲が広がって寒く感じる,0,1.0,0.20062501,0.27481235,-0.07418735,47,41
異なる射影,1,20261813,天気幹線切断,曖昧天気,今日は天気が変わりやすい,0,1.0,0.20200923,0.27437829,-0.07236906,44,38
異なる射影,1,20261813,天気幹線切断,無関係,会計ソフトが請求書を処理する,0,1.0,0.05119613,0.07892175,-0.02772562,34,24
異なる射影,1,20261813,晴れ枝切断,晴れ未経験,よく晴れた穏やかな日だ,7,1.0,0.12782333,0.11537661,0.01244673,35,28
異なる射影,1,20261813,晴れ枝切断,雨未経験,雨雲が広がって寒く感じる,7,0.97669953,0.19105902,0.27956772,-0.0885087,46,40
異なる射影,1,20261813,晴れ枝切断,曖昧天気,今日は天気が変わりやすい,7,1.0,0.20200923,0.27437829,-0.07236906,44,38
異なる射影,1,20261813,晴れ枝切断,無関係,会計ソフトが請求書を処理する,7,1.0,0.05119613,0.07892175,-0.02772562,34,24
異なる射影,1,20261813,雨枝切断,晴れ未経験,よく晴れた穏やかな日だ,4,1.0,0.12782333,0.11537661,0.01244673,35,28
異なる射影,1,20261813,雨枝切断,雨未経験,雨雲が広がって寒く感じる,4,0.9300986,0.20371031,0.21664838,-0.01293807,46,40
異なる射影,1,20261813,雨枝切断,曖昧天気,今日は天気が変わりやすい,4,1.0,0.20200923,0.27437829,-0.07236906,44,38
異なる射影,1,20261813,雨枝切断,無関係,会計ソフトが請求書を処理する,4,1.0,0.05119613,0.07892175,-0.02772562,34,24
異なる射影,1,20261813,部分共有切断,晴れ未経験,よく晴れた穏やかな日だ,34,0.61821429,0.03335802,0.0454546,-0.01209659,30,21
異なる射影,1,20261813,部分共有切断,雨未経験,雨雲が広がって寒く感じる,34,0.62623249,0.05439221,0.1537949,-0.09940269,37,28
異なる射影,1,20261813,部分共有切断,曖昧天気,今日は天気が変わりやすい,34,0.48845694,0.04157908,0.07733305,-0.03575397,32,22
異なる射影,1,20261813,部分共有切断,無関係,会計ソフトが請求書を処理する,34,0.78602941,0.00679025,0.06054293,-0.05375268,30,20
異なる射影,1,20261813,ランダム同数,晴れ未経験,よく晴れた穏やかな日だ,7,1.0,0.12782333,0.11537661,0.01244673,35,28
異なる射影,1,20261813,ランダム同数,雨未経験,雨雲が広がって寒く感じる,7,0.88349766,0.16353888,0.26500921,-0.10147033,42,37
異なる射影,1,20261813,ランダム同数,曖昧天気,今日は天気が変わりやすい,7,1.0,0.20200923,0.27437829,-0.07236906,44,38
異なる射影,1,20261813,ランダム同数,無関係,会計ソフトが請求書を処理する,7,0.96262255,0.05147379,0.07152671,-0.02005292,33,24
異なる射影,2,20262822,無処置,晴れ未経験,よく晴れた穏やかな日だ,0,1.0,0.21476403,0.26293965,-0.04817562,46,38
異なる射影,2,20262822,無処置,雨未経験,雨雲が広がって寒く感じる,0,1.0,0.17017556,0.37852457,-0.20834901,52,46
異なる射影,2,20262822,無処置,曖昧天気,今日は天気が変わりやすい,0,1.0,0.25399915,0.26414199,-0.01014283,42,33
異なる射影,2,20262822,無処置,無関係,会計ソフトが請求書を処理する,0,1.0,0.00786869,0.0158183,-0.00794961,26,17
異なる射影,2,20262822,天気幹線切断,晴れ未経験,よく晴れた穏やかな日だ,0,1.0,0.21476403,0.26293965,-0.04817562,46,38
異なる射影,2,20262822,天気幹線切断,雨未経験,雨雲が広がって寒く感じる,0,1.0,0.17017556,0.37852457,-0.20834901,52,46
異なる射影,2,20262822,天気幹線切断,曖昧天気,今日は天気が変わりやすい,0,1.0,0.25399915,0.26414199,-0.01014283,42,33
異なる射影,2,20262822,天気幹線切断,無関係,会計ソフトが請求書を処理する,0,1.0,0.00786869,0.0158183,-0.00794961,26,17
異なる射影,2,20262822,晴れ枝切断,晴れ未経験,よく晴れた穏やかな日だ,6,0.87643021,0.21782042,0.31865132,-0.1008309,47,39
異なる射影,2,20262822,晴れ枝切断,雨未経験,雨雲が広がって寒く感じる,6,1.0,0.17017556,0.37852457,-0.20834901,52,46
異なる射影,2,20262822,晴れ枝切断,曖昧天気,今日は天気が変わりやすい,6,0.91590909,0.21456924,0.26862139,-0.05405215,41,32
異なる射影,2,20262822,晴れ枝切断,無関係,会計ソフトが請求書を処理する,6,1.0,0.00786869,0.0158183,-0.00794961,26,17
異なる射影,2,20262822,雨枝切断,晴れ未経験,よく晴れた穏やかな日だ,10,0.83461098,0.20472141,0.19689585,0.00782556,41,33
異なる射影,2,20262822,雨枝切断,雨未経験,雨雲が広がって寒く感じる,10,0.69314381,0.14988875,0.24207864,-0.09218989,41,35
異なる射影,2,20262822,雨枝切断,曖昧天気,今日は天気が変わりやすい,10,1.0,0.25399915,0.26414199,-0.01014283,42,33
異なる射影,2,20262822,雨枝切断,無関係,会計ソフトが請求書を処理する,10,1.0,0.00786869,0.0158183,-0.00794961,26,17
異なる射影,2,20262822,部分共有切断,晴れ未経験,よく晴れた穏やかな日だ,53,0.48672769,0.08943293,0.0772835,0.01214943,33,23
異なる射影,2,20262822,部分共有切断,雨未経験,雨雲が広がって寒く感じる,53,0.44280936,0.03099242,0.13265761,-0.10166519,31,23
異なる射影,2,20262822,部分共有切断,曖昧天気,今日は天気が変わりやすい,53,0.36060606,0.09507436,0.02918861,0.06588576,28,18
異なる射影,2,20262822,部分共有切断,無関係,会計ソフトが請求書を処理する,53,0.94830317,0.00176768,0.01037394,-0.00860626,25,16
異なる射影,2,20262822,ランダム同数,晴れ未経験,よく晴れた穏やかな日だ,10,0.78518307,0.15437852,0.23142963,-0.07705111,42,33
異なる射影,2,20262822,ランダム同数,雨未経験,雨雲が広がって寒く感じる,10,0.92328595,0.14292328,0.3571494,-0.21422612,50,43
