group,checkpoint,entity_type,role,trials,count_mean,count_std,share_mean,share_std
異なる射影,0,Node,学習・類似共有,5,7.2,5.491812087098393,0.101355636,0.0786941602344361
異なる射影,0,Node,学習文専用,5,16.6,3.6110940170535577,0.226071008,0.04150265026407175
異なる射影,0,Node,無関係文専用,5,23.2,1.6,0.31866174199999997,0.0289356183961065
異なる射影,0,Node,類似・無関係共有,5,1.8,1.469693845669907,0.024380046,0.02012297423285991
異なる射影,0,Node,類似文専用,5,19.2,3.9698866482558417,0.26132045800000003,0.04267784673441545
異なる射影,1,Edge,全共有幹線,5,1.0,1.2649110640673518,0.01923077,0.024325213743534503
異なる射影,1,Edge,学習・無関係共有,5,2.2,1.7204650534085253,0.040977674,0.030653889587874877
異なる射影,1,Edge,学習・類似共有,5,5.6,5.0039984012787215,0.11065469000000001,0.10309058468346738
異なる射影,1,Edge,学習文専用,5,12.4,3.3823069050575527,0.233626956,0.05772338655112903
異なる射影,1,Edge,無関係文専用,5,16.4,1.2000000000000002,0.31308070200000004,0.03403150553082623
異なる射影,1,Edge,類似・無関係共有,5,1.0,0.8944271909999159,0.01868132,0.016611228127122932
異なる射影,1,Edge,類似文専用,5,14.0,3.521363372331802,0.26374789199999993,0.057010010523682035
異なる射影,1,Node,全共有幹線,5,1.8,1.9390719429665317,0.02466375,0.026299652112609397
異なる射影,1,Node,学習・無関係共有,5,3.2,2.1354156504062622,0.04340136600000001,0.02799138296271451
異なる射影,1,Node,学習・類似共有,5,7.8,5.81033561853358,0.10943516999999998,0.08317964817477722
異なる射影,1,Node,学習文専用,5,16.8,3.7094473981982814,0.22810201999999996,0.042755097674113195
異なる射影,1,Node,無関係文専用,5,23.0,1.6733200530681511,0.314997506,0.02898998727828807
異なる射影,1,Node,類似・無関係共有,5,1.8,1.469693845669907,0.024225651999999997,0.019874978582884964
異なる射影,1,Node,類似文専用,5,18.8,4.261455150532504,0.25517453999999995,0.047959577919872896
異なる射影,5,Edge,全共有幹線,5,1.2,1.5999999999999999,0.022501748,0.03012001499858219
異なる射影,5,Edge,学習・無関係共有,5,2.4,1.624807680927192,0.042988404,0.028217300544264398
異なる射影,5,Edge,学習・類似共有,5,6.8,4.874423042781576,0.127089162,0.09435107729251097
異なる射影,5,Edge,学習文専用,5,13.0,3.1622776601683795,0.23550377599999997,0.0499695750825166
異なる射影,5,Edge,無関係文専用,5,16.4,1.4966629547095767,0.300262106,0.03514852925558997
異なる射影,5,Edge,類似・無関係共有,5,1.0,0.8944271909999159,0.018198536,0.016142832893701897
異なる射影,5,Edge,類似文専用,5,14.0,3.521363372331802,0.25345626999999993,0.05564167398472013
異なる射影,5,Node,全共有幹線,5,2.0,2.280350850198276,0.026774774,0.030452817467765177
異なる射影,5,Node,学習・無関係共有,5,3.4,2.0591260281974,0.044774776,0.02617322613671658
異なる射影,5,Node,学習・類似共有,5,8.8,5.912698199637793,0.11954955,0.0818837946077767
異なる射影,5,Node,学習文専用,5,17.6,3.5552777669262356,0.23299849999999997,0.040592741642873534
異なる射影,5,Node,無関係文専用,5,22.8,1.469693845669907,0.30386786600000004,0.02641040099936357
異なる射影,5,Node,類似・無関係共有,5,2.0,1.2649110640673518,0.026421919999999998,0.01664907013728034
異なる射影,5,Node,類似文専用,5,18.6,4.5431266766402185,0.24561261399999998,0.051501184149659554
異なる射影,10,Edge,全共有幹線,5,1.4,1.9595917942265426,0.025764476,0.03679669420257511
異なる射影,10,Edge,学習・無関係共有,5,2.6,1.624807680927192,0.044754794,0.027680869787582617
異なる射影,10,Edge,学習・類似共有,5,7.0,5.176871642217914,0.125171626,0.0946309570272102
異なる射影,10,Edge,学習文専用,5,15.0,3.847076812334269,0.261152702,0.05888039509052479
異なる射影,10,Edge,無関係文専用,5,16.2,1.16619037896906,0.285070166,0.02726577661952185
異なる射影,10,Edge,類似・無関係共有,5,1.0,0.8944271909999159,0.017449798,0.015308019545297686
異なる射影,10,Edge,類似文専用,5,13.8,3.1240998703626617,0.240636436,0.04682513963113131
異なる射影,10,Node,全共有幹線,5,2.2,2.638181191654584,0.028710762,0.03466927208487677
異なる射影,10,Node,学習・無関係共有,5,3.6,2.0591260281974,0.04627237000000001,0.025871165803086647
異なる射影,10,Node,学習・類似共有,5,8.6,6.151422599691879,0.11450024399999999,0.08460895832001068
異なる射影,10,Node,学習文専用,5,19.6,4.454211490264018,0.252218002,0.04937740156116214
異なる射影,10,Node,無関係文専用,5,22.6,1.2,0.29355886600000003,0.024599165378219327
異なる射影,10,Node,類似・無関係共有,5,2.0,1.2649110640673518,0.02554219,0.01572110404601407
異なる射影,10,Node,類似文専用,5,18.6,4.5431266766402185,0.239197564,0.05008155168963941
異なる射影,20,Edge,全共有幹線,5,2.4,3.1999999999999997,0.041904762,0.056696670001835696
異なる射影,20,Edge,学習・無関係共有,5,3.2,2.039607805437114,0.053793104,0.03418569448431352
異なる射影,20,Edge,学習・類似共有,5,9.0,6.782329983125268,0.15408046,0.11686982087493059
異なる射影,20,Edge,学習文専用,5,15.0,3.8987177379235853,0.254490968,0.06368278760327954
異なる射影,20,Edge,無関係文専用,5,15.4,1.0198039027185568,0.26219211800000003,0.01994543517715409
異なる射影,20,Edge,類似・無関係共有,5,0.8,0.9797958971132713,0.013333332,0.01632992998556136
異なる射影,20,Edge,類似文専用,5,13.0,3.40587727318528,0.220205254,0.05404040819973905
異なる射影,20,Node,全共有幹線,5,3.2,3.655133376499413,0.040905094,0.046726570386027094
