projection_group,trial,probe_label,probe_text,target_group,core_affinity,core_affinity_max,embedding_affinity,embedding_affinity_max,probe_nodes,probe_edges
異なる射影,3,雨未経験,雨雲が広がって寒く感じる,晴れ・快適,0.10070874009620827,0.16171875,0.44571177598752326,0.46991799982686555,40,33
異なる射影,3,雨未経験,雨雲が広がって寒く感じる,雨・不快,0.25285386647909475,0.502014652014652,0.6288673129288314,0.7147427075354473,40,33
異なる射影,3,曖昧な天気,今日は天気が変わりやすい,晴れ・快適,0.11293898533028968,0.23043478260869565,0.5454098570633651,0.7183623870870162,35,29
異なる射影,3,曖昧な天気,今日は天気が変わりやすい,雨・不快,0.18506384621751573,0.22436664320900773,0.5186054347715611,0.6077586266325322,35,29
異なる射影,3,無関係,犬が庭で遊んでいる,晴れ・快適,0.0504498975749877,0.13035714285714287,0.23184522620552248,0.24125797377534744,29,20
異なる射影,3,無関係,犬が庭で遊んでいる,雨・不快,0.07718099174698127,0.12225988700564971,0.21602332279480332,0.23595923480212333,29,20
異なる射影,4,晴れ未経験,よく晴れた穏やかな日だ,晴れ・快適,0.40474274271319843,0.4443396226415094,0.616875271848211,0.6804802551561578,38,32
異なる射影,4,晴れ未経験,よく晴れた穏やかな日だ,雨・不快,0.29686014000260913,0.4130831643002028,0.45957428743833234,0.4770672971724763,38,32
異なる射影,4,雨未経験,雨雲が広がって寒く感じる,晴れ・快適,0.2563714656593547,0.3082458770614693,0.44572598959759047,0.4698609443027249,41,34
異なる射影,4,雨未経験,雨雲が広がって寒く感じる,雨・不快,0.3328824494794617,0.3980281690140845,0.6288673129288314,0.7147427075354473,41,34
異なる射影,4,曖昧な天気,今日は天気が変わりやすい,晴れ・快適,0.09648641943812386,0.17402411021814007,0.5454220739429394,0.7183628692856321,41,33
異なる射影,4,曖昧な天気,今日は天気が変わりやすい,雨・不快,0.20037749716265107,0.22502271694684234,0.5186054347715611,0.6077586266325322,41,33
異なる射影,4,無関係,犬が庭で遊んでいる,晴れ・快適,0.15196601364634152,0.18526867030965394,0.2318529708682754,0.24124731759893572,39,31
異なる射影,4,無関係,犬が庭で遊んでいる,雨・不快,0.11151707962449366,0.13066176470588237,0.21602332279480332,0.23595923480212333,39,31
異なる射影,5,晴れ未経験,よく晴れた穏やかな日だ,晴れ・快適,0.33750336706235035,0.40269360269360266,0.6168567010433418,0.6804265790425623,39,31
異なる射影,5,晴れ未経験,よく晴れた穏やかな日だ,雨・不快,0.2143998593998594,0.33807692307692305,0.45958779679063694,0.4770476059702175,39,31
異なる射影,5,雨未経験,雨雲が広がって寒く感じる,晴れ・快適,0.2700167287935468,0.29874772313296905,0.4456880979396108,0.4698609443027249,45,36
異なる射影,5,雨未経験,雨雲が広がって寒く感じる,雨・不快,0.31571068160428517,0.3833747927031509,0.6288672454191707,0.7147635768738942,45,36
異なる射影,5,曖昧な天気,今日は天気が変わりやすい,晴れ・快適,0.3909344726779242,0.4200069268067421,0.5454139831898307,0.7183628692856321,47,42
異なる射影,5,曖昧な天気,今日は天気が変わりやすい,雨・不快,0.31016474579858794,0.43866341991341995,0.518612365007068,0.6077165843586402,47,42
異なる射影,5,無関係,犬が庭で遊んでいる,晴れ・快適,0.09683335471325667,0.17497854997854997,0.23182898944131858,0.2412527934079215,34,28
異なる射影,5,無関係,犬が庭で遊んでいる,雨・不快,0.07543014533520863,0.13527777777777777,0.2159436043831838,0.23591602454779845,34,28
