record_type,group,trial,selected_k,candidate_k,selection_score,silhouette,loss,multi_membership_rate,membership_entropy,edge_total
candidate,固定射影,4,7,7,0.33393374289093175,0.39393374289093175,105.48139838347484,0.16447368421052633,0.5419102717601496,152
candidate,固定射影,4,7,8,0.3209711901215855,0.3929711901215855,97.24003036437247,0.16447368421052633,0.5419102717601496,152
trial,固定射影,5,7,0,0.0,0.0,0.0,0.13157894736842105,0.5510746984795006,152
candidate,固定射影,5,7,2,0.3028490321181578,0.3028490321181578,201.05732801595215,0.13157894736842105,0.5510746984795006,152
candidate,固定射影,5,7,3,0.26372528060950545,0.27572528060950546,168.26579588993383,0.13157894736842105,0.5510746984795006,152
candidate,固定射影,5,7,4,0.26047487332140545,0.2844748733214055,148.38666666666666,0.13157894736842105,0.5510746984795006,152
candidate,固定射影,5,7,5,0.2815675065221319,0.3175675065221319,133.21281562699596,0.13157894736842105,0.5510746984795006,152
candidate,固定射影,5,7,6,0.322308298790088,0.370308298790088,116.76578003459888,0.13157894736842105,0.5510746984795006,152
candidate,固定射影,5,7,7,0.3342363648380992,0.3942363648380992,108.05594916779128,0.13157894736842105,0.5510746984795006,152
candidate,固定射影,5,7,8,0.32713309708237537,0.3991330970823754,95.31994044362465,0.13157894736842105,0.5510746984795006,152
trial,固定射影,6,8,0,0.0,0.0,0.0,0.03289473684210526,0.5340639058983947,152
candidate,固定射影,6,8,2,0.3028490321181578,0.3028490321181578,201.05732801595215,0.03289473684210526,0.5340639058983947,152
candidate,固定射影,6,8,3,0.26124956741820715,0.27324956741820716,167.90320855614974,0.03289473684210526,0.5340639058983947,152
candidate,固定射影,6,8,4,0.25783181327722265,0.2818318132772227,148.9200602314623,0.03289473684210526,0.5340639058983947,152
candidate,固定射影,6,8,5,0.2654255929875283,0.30142559298752836,134.4644125465178,0.03289473684210526,0.5340639058983947,152
candidate,固定射影,6,8,6,0.3201239503992067,0.3681239503992067,117.9014508411792,0.03289473684210526,0.5340639058983947,152
candidate,固定射影,6,8,7,0.3000188100314401,0.3600188100314401,109.19152661064425,0.03289473684210526,0.5340639058983947,152
candidate,固定射影,6,8,8,0.3336279720953904,0.4056279720953904,93.2675831202046,0.03289473684210526,0.5340639058983947,152
trial,異なる射影,1,8,0,0.0,0.0,0.0,0.07801418439716312,0.582873182709912,141
candidate,異なる射影,1,8,2,0.2328971397509479,0.2328971397509479,208.33809746954077,0.07801418439716312,0.582873182709912,141
candidate,異なる射影,1,8,3,0.23819517313305094,0.25019517313305095,177.5889225716812,0.07801418439716312,0.582873182709912,141
candidate,異なる射影,1,8,4,0.21822286165534077,0.24222286165534077,158.26761619190404,0.07801418439716312,0.582873182709912,141
candidate,異なる射影,1,8,5,0.2548568818525577,0.2908568818525577,135.08333761532316,0.07801418439716312,0.582873182709912,141
candidate,異なる射影,1,8,6,0.26912634299128263,0.3171263429912826,124.80354853479852,0.07801418439716312,0.582873182709912,141
candidate,異なる射影,1,8,7,0.28066538165436344,0.34066538165436344,110.0823621785176,0.07801418439716312,0.582873182709912,141
candidate,異なる射影,1,8,8,0.29309160088490427,0.3650916008849043,104.10878057211997,0.07801418439716312,0.582873182709912,141
trial,異なる射影,2,8,0,0.0,0.0,0.0,0.12318840579710146,0.5674676883393353,138
candidate,異なる射影,2,8,2,0.2540687225885192,0.2540687225885192,207.13541666666669,0.12318840579710146,0.5674676883393353,138
candidate,異なる射影,2,8,3,0.24589540709251873,0.25789540709251874,173.12129142409313,0.12318840579710146,0.5674676883393353,138
candidate,異なる射影,2,8,4,0.21389969967896014,0.23789969967896013,153.11534317534318,0.12318840579710146,0.5674676883393353,138
candidate,異なる射影,2,8,5,0.21886648270591788,0.2548664827059179,141.4171333865354,0.12318840579710146,0.5674676883393353,138
candidate,異なる射影,2,8,6,0.25292366518108766,0.30092366518108765,123.45874049224433,0.12318840579710146,0.5674676883393353,138
candidate,異なる射影,2,8,7,0.2472125427311876,0.3072125427311876,116.33048913043478,0.12318840579710146,0.5674676883393353,138
candidate,異なる射影,2,8,8,0.27160469320548597,0.343604693205486,103.16785714285714,0.12318840579710146,0.5674676883393353,138
trial,異なる射影,3,8,0,0.0,0.0,0.0,0.05844155844155844,0.6089003150126915,154
candidate,異なる射影,3,8,2,0.25109973216506953,0.25109973216506953,207.75897435897437,0.05844155844155844,0.6089003150126915,154
candidate,異なる射影,3,8,3,0.21054984004796734,0.22254984004796735,175.60193548387096,0.05844155844155844,0.6089003150126915,154
candidate,異なる射影,3,8,4,0.19280960285494414,0.21680960285494413,158.3294871794872,0.05844155844155844,0.6089003150126915,154
candidate,異なる射影,3,8,5,0.21945101098124922,0.2554510109812492,138.3663732818905,0.05844155844155844,0.6089003150126915,154
candidate,異なる射影,3,8,6,0.2551661706516587,0.3031661706516587,123.42012987012987,0.05844155844155844,0.6089003150126915,154
candidate,異なる射影,3,8,7,0.21345000852712892,0.2734500085271289,117.08026418026418,0.05844155844155844,0.6089003150126915,154
candidate,異なる射影,3,8,8,0.28233053296252003,0.35433053296252004,102.76481413323518,0.05844155844155844,0.6089003150126915,154
trial,異なる射影,4,2,0,0.0,0.0,0.0,0.06578947368421052,0.35693199635471484,152
candidate,異なる射影,4,2,2,0.3406473399341199,0.3406473399341199,207.12942612942612,0.06578947368421052,0.35693199635471484,152
candidate,異なる射影,4,2,3,0.20644672999642624,0.21844672999642625,179.9422084141185,0.06578947368421052,0.35693199635471484,152
candidate,異なる射影,4,2,4,0.20559743781288858,0.22959743781288858,161.8660669665167,0.06578947368421052,0.35693199635471484,152
candidate,異なる射影,4,2,5,0.2322562351570425,0.2682562351570425,143.690458092632,0.06578947368421052,0.35693199635471484,152
candidate,異なる射影,4,2,6,0.24952759239937938,0.29752759239937937,130.32239618180694,0.06578947368421052,0.35693199635471484,152
candidate,異なる射影,4,2,7,0.2549501092256829,0.3149501092256829,120.12354142915336,0.06578947368421052,0.35693199635471484,152
candidate,異なる射影,4,2,8,0.2841472508946702,0.3561472508946702,104.68686868686869,0.06578947368421052,0.35693199635471484,152
trial,異なる射影,5,2,0,0.0,0.0,0.0,0.17886178861788618,0.42541075758864016,123
candidate,異なる射影,5,2,2,0.2934928896467258,0.2934928896467258,198.75977443609023,0.17886178861788618,0.42541075758864016,123
candidate,異なる射影,5,2,3,0.20584892486651984,0.21784892486651986,173.03579209461563,0.17886178861788618,0.42541075758864016,123
candidate,異なる射影,5,2,4,0.2196975113019374,0.2436975113019374,154.30229549359058,0.17886178861788618,0.42541075758864016,123
candidate,異なる射影,5,2,5,0.24735222138422888,0.2833522213842289,132.94008600095557,0.17886178861788618,0.42541075758864016,123
candidate,異なる射影,5,2,6,0.23013269210746562,0.2781326921074656,125.29830917874396,0.17886178861788618,0.42541075758864016,123
candidate,異なる射影,5,2,7,0.24603623418953474,0.30603623418953474,111.78477726574499,0.17886178861788618,0.42541075758864016,123
candidate,異なる射影,5,2,8,0.29061008339010463,0.36261008339010464,98.01457785046495,0.17886178861788618,0.42541075758864016,123
trial,異なる射影,6,2,0,0.0,0.0,0.0,0.12949640287769784,0.42306082052678196,139
candidate,異なる射影,6,2,2,0.3179853505465021,0.3179853505465021,202.84476843910807,0.12949640287769784,0.42306082052678196,139
candidate,異なる射影,6,2,3,0.1915439832508007,0.2035439832508007,179.12419974391807,0.12949640287769784,0.42306082052678196,139
candidate,異なる射影,6,2,4,0.22394681910432426,0.24794681910432426,158.52830158316357,0.12949640287769784,0.42306082052678196,139
candidate,異なる射影,6,2,5,0.2422863392070808,0.2782863392070808,137.61788766788766,0.12949640287769784,0.42306082052678196,139
candidate,異なる射影,6,2,6,0.23317152663833607,0.28117152663833606,128.0911455108359,0.12949640287769784,0.42306082052678196,139
candidate,異なる射影,6,2,7,0.27916035838951103,0.33916035838951103,111.74319014055791,0.12949640287769784,0.42306082052678196,139
candidate,異なる射影,6,2,8,0.2911865982359707,0.3631865982359707,102.27089466089467,0.12949640287769784,0.42306082052678196,139
