group,trial,edge_a,edge_b,primary_cluster,primary_type,primary_membership,secondary_types,secondary_count,membership_entropy,usage_pattern
固定射影,1,205,373,3,雨中心型,0.5801252736105992,,0,0.6589980935684338,0001100000
固定射影,1,208,583,0,混合補助型,0.46425075484350903,,0,0.7687369805678574,0010000000
固定射影,1,212,224,7,晴れ中心型,0.9413830162740482,,0,0.1425813039486704,1011001010
固定射影,1,212,509,7,晴れ中心型,0.9413830162740482,,0,0.1425813039486704,1011001010
固定射影,1,213,552,0,混合補助型,0.5877998788798874,,0,0.6720519817065527,0010000001
固定射影,1,216,514,5,橋渡し型,0.4883291975261208,,0,0.7528318342417484,1001000010
固定射影,1,218,364,0,混合補助型,0.46425075484350903,,0,0.7687369805678574,0010000000
固定射影,1,218,496,1,雨中心型,0.5817607679653921,,0,0.6833125072805146,0010001100
固定射影,1,219,568,0,混合補助型,0.6881617047696169,,0,0.5288234488393082,0000000001
固定射影,1,226,230,2,晴れ中心型,0.8895567750049783,,0,0.24765691702417203,0100000000
固定射影,1,230,426,2,晴れ中心型,0.8895567750049783,,0,0.24765691702417203,0100000000
固定射影,1,235,362,7,晴れ中心型,0.9413830162740482,,0,0.1425813039486704,1011001010
固定射影,1,237,534,0,混合補助型,0.6881617047696169,,0,0.5288234488393082,0000000001
固定射影,1,241,483,7,晴れ中心型,0.9413830162740482,,0,0.1425813039486704,1011001010
固定射影,1,241,572,7,晴れ中心型,0.9413830162740482,,0,0.1425813039486704,1011001010
固定射影,1,254,343,4,雨中心型,0.7765432924742488,,0,0.42994490861492773,0101110100
固定射影,1,257,541,1,雨中心型,0.4552469332852156,雨中心型,1,0.6748126190926165,0001100100
固定射影,1,271,362,7,晴れ中心型,0.6125110341174659,,0,0.53916755644647,1111001010
固定射影,1,273,500,0,混合補助型,0.6881617047696169,,0,0.5288234488393082,0000000001
固定射影,1,277,492,5,橋渡し型,0.5359855941982977,晴れ中心型,1,0.4911102744175733,1011011010
固定射影,1,287,491,0,混合補助型,0.6881617047696169,,0,0.5288234488393082,0000000001
固定射影,1,291,473,4,雨中心型,0.832149485861438,,0,0.3413081284090005,0001010100
固定射影,1,292,506,4,雨中心型,0.832149485861438,,0,0.3413081284090005,0001010100
固定射影,1,292,515,4,雨中心型,0.832149485861438,,0,0.3413081284090005,0001010100
固定射影,1,295,335,0,混合補助型,0.41743462330930803,,0,0.8077668639434423,0000001000
固定射影,1,298,354,6,晴れ中心型,0.938192096973069,,0,0.1632844831034402,1110001000
固定射影,1,301,382,1,雨中心型,0.6486058531861584,,0,0.567877074955369,0010100100
固定射影,1,301,396,1,雨中心型,0.6486058531861584,,0,0.567877074955369,0010100100
固定射影,1,302,461,7,晴れ中心型,0.9413830162740482,,0,0.1425813039486704,1011001010
固定射影,1,304,382,1,雨中心型,0.6486058531861584,,0,0.567877074955369,0010100100
固定射影,1,305,365,4,雨中心型,0.7765432924742488,,0,0.42994490861492773,0101110100
固定射影,1,308,485,3,雨中心型,0.8433181123352919,,0,0.31641010500305455,0000100000
固定射影,1,308,490,3,雨中心型,0.5504929092512008,混合補助型,1,0.6091614102287404,0000100001
固定射影,1,311,420,1,雨中心型,0.5853843957613032,,0,0.6624612453340756,0000001100
固定射影,1,313,469,3,雨中心型,0.8433181123352919,,0,0.31641010500305455,0000100000
固定射影,1,316,323,0,混合補助型,0.6881617047696169,,0,0.5288234488393082,0000000001
固定射影,1,318,511,6,晴れ中心型,0.938192096973069,,0,0.1632844831034402,1110001000
固定射影,1,341,556,2,晴れ中心型,0.8895567750049783,,0,0.24765691702417203,0100000000
固定射影,1,349,545,6,晴れ中心型,0.7320751058875278,,0,0.45607975869005724,1110001010
固定射影,1,369,409,1,雨中心型,0.4552938883607329,,0,0.7824091038043427,1000000100
固定射影,1,369,550,1,雨中心型,0.4552938883607329,,0,0.7824091038043427,1000000100
固定射影,1,372,561,2,晴れ中心型,0.37449457544137654,,0,0.8427097311795441,1100000010
固定射影,1,374,560,2,晴れ中心型,0.8895567750049783,,0,0.24765691702417203,0100000000
固定射影,1,381,502,0,混合補助型,0.5609072091273836,,0,0.7118425513488744,1000000001
固定射影,1,383,420,1,雨中心型,0.5853843957613032,,0,0.6624612453340756,0000001100
固定射影,1,393,439,0,混合補助型,0.6881617047696169,,0,0.5288234488393082,0000000001
固定射影,1,395,400,3,雨中心型,0.8433181123352919,,0,0.31641010500305455,0000100000
固定射影,1,395,479,3,雨中心型,0.8433181123352919,,0,0.31641010500305455,0000100000
固定射影,1,400,479,3,雨中心型,0.8433181123352919,,0,0.31641010500305455,0000100000
固定射影,1,405,489,3,雨中心型,0.8433181123352919,,0,0.31641010500305455,0000100000
固定射影,1,405,587,3,雨中心型,0.6196310063082768,,0,0.6007103052357904,0000110000
固定射影,1,407,444,0,混合補助型,0.3976378328690205,,0,0.7879769253943569,0000010000
固定射影,1,407,486,4,雨中心型,0.46623821324612597,雨中心型,1,0.6991557030807832,0000010100
固定射影,1,409,422,0,混合補助型,0.438085712033323,,0,0.8094361486422175,1000000000
固定射影,1,418,500,0,混合補助型,0.6881617047696169,,0,0.5288234488393082,0000000001
固定射影,1,419,568,0,混合補助型,0.6881617047696169,,0,0.5288234488393082,0000000001
固定射影,1,426,565,2,晴れ中心型,0.8895567750049783,,0,0.24765691702417203,0100000000
固定射影,1,426,589,2,晴れ中心型,0.8895567750049783,,0,0.24765691702417203,0100000000
固定射影,1,439,552,0,混合補助型,0.5877998788798874,,0,0.6720519817065527,0010000001
固定射影,1,443,575,2,晴れ中心型,0.8895567750049783,,0,0.24765691702417203,0100000000
固定射影,1,444,486,4,雨中心型,0.46623821324612597,雨中心型,1,0.6991557030807832,0000010100
固定射影,1,461,509,7,晴れ中心型,0.9413830162740482,,0,0.1425813039486704,1011001010
固定射影,1,467,477,3,雨中心型,0.6196310063082768,,0,0.6007103052357904,0000110000
